timestamp,engine_id,mission_id,flight_phase,engine_operating_hours,rpm,throttle,engine_load,oil_pressure,oil_temperature,cht,egt,fuel_flow,vibration_rms,vibration_peak,vibration_1x,vibration_2x,battery_voltage,alternator_voltage,ambient_temperature,ambient_pressure,degradation_index,fault_type,fault_severity,fault_progression,mission_fault_type,affected_component,fault_onset_timestamp,fault_duration_s,fault_variant,sensor_channel_affected
2026-06-10 00:00:40.000000000,ENG_002,ENG_002_M01,GROUND_IDLE,220.3067,2449.6,0.1046,0.0594,2.157,25.63,52.13,542.99,1.609,0.3056,0.9581,0.22,0.0742,25.873,28.082,8.96,1013.48,0.022,NORMAL,NORMAL,0.0,COOLING_SYSTEM_FAILURE,NONE,2026-06-10 00:05:08,692,gradual,
2026-06-10 00:00:44.000000000,ENG_002,ENG_002_M01,GROUND_IDLE,220.3078,2431.9,0.1044,0.0592,2.148,26.18,52.7,551.74,1.468,0.3124,0.9419,0.2403,0.0692,25.944,28.179,8.77,1013.55,0.022,NORMAL,NORMAL,0.0,COOLING_SYSTEM_FAILURE,NONE,2026-06-10 00:05:08,692,gradual,
2026-06-10 00:00:48.000000000,ENG_002,ENG_002_M01,GROUND_IDLE,220.3089,2430.0,0.1054,0.0598,2.147,26.7,53.21,558.95,1.529,0.3052,0.9666,0.2148,0.0822,25.863,28.222,8.27,1013.18,0.022,NORMAL,NORMAL,0.0,COOLING_SYSTEM_FAILURE,NONE,2026-06-10 00:05:08,692,gradual,
2026-06-10 00:00:52.000000000,ENG_002,ENG_002_M01,GROUND_IDLE,220.31,2438.6,0.1093,0.0623,2.151,27.21,53.73,565.04,1.5,0.3054,1.0067,0.2172,0.1044,25.854,28.068,8.2,1012.87,0.022,NORMAL,NORMAL,0.0,COOLING_SYSTEM_FAILURE,NONE,2026-06-10 00:05:08,692,gradual,
2026-06-10 00:00:56.000000000,ENG_002,ENG_002_M01,GROUND_IDLE,220.3111,2466.5,0.115,0.066,2.165,27.72,54.27,570.31,1.598,0.325,1.0294,0.2341,0.0763,25.91,28.114,8.17,1011.33,0.022,NORMAL,NORMAL,0.0,COOLING_SYSTEM_FAILURE,NONE,2026-06-10 00:05:08,692,gradual,
2026-06-10 00:01:00.000000000,ENG_002,ENG_002_M01,GROUND_IDLE,220.3123,2495.7,0.1222,0.0708,2.18,28.23,54.84,574.98,1.605,0.3204,1.0894,0.2363,0.069,25.838,28.248,8.32,1011.88,0.022,NORMAL,NORMAL,0.0,COOLING_SYSTEM_FAILURE,NONE,2026-06-10 00:05:08,692,gradual,
2026-06-10 00:01:04.000000000,ENG_002,ENG_002_M01,GROUND_IDLE,220.3134,2513.6,0.1208,0.07,2.188,28.73,55.38,578.75,1.658,0.3179,1.002,0.2124,0.1071,25.911,28.058,8.37,1011.82,0.022,NORMAL,NORMAL,0.0,COOLING_SYSTEM_FAILURE,NONE,2026-06-10 00:05:08,692,gradual,
2026-06-10 00:01:08.000000000,ENG_002,ENG_002_M01,GROUND_IDLE,220.3145,2531.9,0.1264,0.0738,2.197,29.22,55.94,582.11,1.664,0.3049,0.7943,0.2109,0.0808,25.894,28.127,8.39,1012.51,0.022,NORMAL,NORMAL,0.0,COOLING_SYSTEM_FAILURE,NONE,2026-06-10 00:05:08,692,gradual,
2026-06-10 00:01:12.000000000,ENG_002,ENG_002_M01,GROUND_IDLE,220.3156,2529.1,0.125,0.0728,2.196,29.7,56.45,584.79,1.574,0.3172,0.9499,0.2177,0.0585,25.913,28.079,8.3,1011.13,0.022,NORMAL,NORMAL,0.0,COOLING_SYSTEM_FAILURE,NONE,2026-06-10 00:05:08,692,gradual,
2026-06-10 00:01:16.000000000,ENG_002,ENG_002_M01,GROUND_IDLE,220.3167,2525.3,0.1234,0.0718,2.194,30.16,56.91,586.91,1.589,0.3261,1.0406,0.2362,0.0853,25.918,28.147,8.3,1011.84,0.022,NORMAL,NORMAL,0.0,COOLING_SYSTEM_FAILURE,NONE,2026-06-10 00:05:08,692,gradual,
2026-06-10 00:01:20.000000000,ENG_002,ENG_002_M01,GROUND_IDLE,220.3178,2506.2,0.1164,0.0672,2.185,30.6,57.29,588.3,1.511,0.3229,1.0749,0.2458,0.088,25.899,28.177,8.15,1010.98,0.022,NORMAL,NORMAL,0.0,COOLING_SYSTEM_FAILURE,NONE,2026-06-10 00:05:08,692,gradual,
2026-06-10 00:01:24.000000000,ENG_002,ENG_002_M01,TAKEOFF,220.3189,3623.4,0.517,0.3819,2.735,31.67,60.71,608.34,4.931,0.474,1.6324,0.334,0.1239,25.779,28.024,7.74,1003.01,0.022,NORMAL,NORMAL,0.0,COOLING_SYSTEM_FAILURE,NONE,2026-06-10 00:05:08,692,gradual,
2026-06-10 00:01:28.000000000,ENG_002,ENG_002_M01,TAKEOFF,220.32,4668.5,0.7285,0.6056,3.25,33.13,66.03,635.99,8.251,0.5911,1.9613,0.4164,0.1627,25.719,27.984,7.61,1003.2,0.022,NORMAL,NORMAL,0.0,COOLING_SYSTEM_FAILURE,NONE,2026-06-10 00:05:08,692,gradual,
2026-06-10 00:01:32.000000000,ENG_002,ENG_002_M01,TAKEOFF,220.3211,5434.6,0.8391,0.7493,3.627,34.83,72.36,665.38,10.754,0.6823,2.0037,0.4902,0.1551,25.653,27.941,7.77,1003.6,0.022,NORMAL,NORMAL,0.0,COOLING_SYSTEM_FAILURE,NONE,2026-06-10 00:05:08,692,gradual,
2026-06-10 00:01:36.000000000,ENG_002,ENG_002_M01,TAKEOFF,220.3223,5899.3,0.891,0.8275,3.856,36.61,79.04,693.02,12.366,0.7704,2.26,0.5568,0.205,25.642,28.012,7.75,1003.99,0.022,NORMAL,NORMAL,0.0,COOLING_SYSTEM_FAILURE,NONE,2026-06-10 00:05:08,692,gradual,
2026-06-10 00:01:40.000000000,ENG_002,ENG_002_M01,TAKEOFF,220.3234,6205.4,0.9218,0.8777,4.007,38.44,85.79,717.9,13.479,0.8499,2.6019,0.606,0.2331,25.629,28.034,7.77,1005.75,0.022,NORMAL,NORMAL,0.0,COOLING_SYSTEM_FAILURE,NONE,2026-06-10 00:05:08,692,gradual,
2026-06-10 00:01:44.000000000,ENG_002,ENG_002_M01,TAKEOFF,220.3245,6389.5,0.9417,0.9099,4.098,40.27,92.44,739.7,14.141,0.8229,2.4601,0.5663,0.2384,25.574,27.881,7.71,1005.22,0.022,NORMAL,NORMAL,0.0,COOLING_SYSTEM_FAILURE,NONE,2026-06-10 00:05:08,692,gradual,
2026-06-10 00:01:48.000000000,ENG_002,ENG_002_M01,TAKEOFF,220.3256,6502.3,0.9587,0.9351,4.153,42.09,98.95,758.67,14.738,0.9058,2.9623,0.6517,0.2357,25.617,27.889,7.73,1005.65,0.022,NORMAL,NORMAL,0.0,COOLING_SYSTEM_FAILURE,NONE,2026-06-10 00:05:08,692,gradual,
2026-06-10 00:01:52.000000000,ENG_002,ENG_002_M01,TAKEOFF,220.3267,6562.3,0.9615,0.9416,4.183,43.89,105.16,774.48,14.872,0.8739,2.4958,0.608,0.2346,25.584,27.913,7.76,1001.71,0.022,NORMAL,NORMAL,0.0,COOLING_SYSTEM_FAILURE,NONE,2026-06-10 00:05:08,692,gradual,
2026-06-10 00:01:56.000000000,ENG_002,ENG_002_M01,TAKEOFF,220.3278,6563.2,0.951,0.9304,4.183,45.62,110.93,786.93,14.694,0.893,2.8389,0.6424,0.2539,25.565,27.908,8.03,1002.74,0.022,NORMAL,NORMAL,0.0,COOLING_SYSTEM_FAILURE,NONE,2026-06-10 00:05:08,692,gradual,
2026-06-10 00:02:00.000000000,ENG_002,ENG_002_M01,TAKEOFF,220.3289,6571.7,0.9513,0.9314,4.188,47.31,116.41,797.17,14.739,0.8772,2.5845,0.629,0.2171,25.604,27.975,8.17,1003.73,0.022,NORMAL,NORMAL,0.0,COOLING_SYSTEM_FAILURE,NONE,2026-06-10 00:05:08,692,gradual,
2026-06-10 00:02:04.000000000,ENG_002,ENG_002_M01,TAKEOFF,220.33,6575.8,0.9505,0.9308,4.19,48.95,121.57,805.53,14.797,0.873,3.0079,0.6113,0.2599,25.569,27.976,8.1,1003.29,0.022,NORMAL,NORMAL,0.0,COOLING_SYSTEM_FAILURE,NONE,2026-06-10 00:05:08,692,gradual,
2026-06-10 00:02:08.000000000,ENG_002,ENG_002_M01,TAKEOFF,220.3311,6561.6,0.95,0.9294,4.183,50.55,126.42,812.31,14.657,0.9068,2.8447,0.6521,0.2629,25.62,27.965,7.96,1004.25,0.022,NORMAL,NORMAL,0.0,COOLING_SYSTEM_FAILURE,NONE,2026-06-10 00:05:08,692,gradual,
2026-06-10 00:02:12.000000000,ENG_002,ENG_002_M01,TAKEOFF,220.3323,6538.6,0.9409,0.9181,4.171,52.09,130.91,817.36,14.443,0.8741,2.9299,0.6195,0.2546,25.574,27.921,8.04,1003.35,0.022,NORMAL,NORMAL,0.0,COOLING_SYSTEM_FAILURE,NONE,2026-06-10 00:05:08,692,gradual,
2026-06-10 00:02:16.000000000,ENG_002,ENG_002_M01,TAKEOFF,220.3334,6540.6,0.9369,0.9139,4.172,53.57,135.11,821.31,14.43,0.8998,2.6915,0.6339,0.2359,25.526,27.893,8.03,1002.72,0.022,NORMAL,NORMAL,0.0,COOLING_SYSTEM_FAILURE,NONE,2026-06-10 00:05:08,692,gradual,
2026-06-10 00:02:20.000000000,ENG_002,ENG_002_M01,TAKEOFF,220.3345,6550.9,0.9451,0.9236,4.177,55.04,139.17,824.98,14.526,0.8692,2.8106,0.6113,0.2396,25.561,27.945,8.18,1005.98,0.022,NORMAL,NORMAL,0.0,COOLING_SYSTEM_FAILURE,NONE,2026-06-10 00:05:08,692,gradual,
2026-06-10 00:02:24.000000000,ENG_002,ENG_002_M01,TAKEOFF,220.3356,6562.7,0.9452,0.9245,4.183,56.47,143.02,828.01,14.623,0.8968,2.7098,0.6488,0.2107,25.591,27.974,8.13,1006.37,0.022,NORMAL,NORMAL,0.0,COOLING_SYSTEM_FAILURE,NONE,2026-06-10 00:05:08,692,gradual,
2026-06-10 00:02:28.000000000,ENG_002,ENG_002_M01,TAKEOFF,220.3367,6538.0,0.9475,0.9253,4.171,57.87,146.65,830.54,14.507,0.8728,2.6453,0.6117,0.2374,25.608,27.858,8.15,1005.58,0.022,NORMAL,NORMAL,0.0,COOLING_SYSTEM_FAILURE,NONE,2026-06-10 00:05:08,692,gradual,
2026-06-10 00:02:32.000000000,ENG_002,ENG_002_M01,TAKEOFF,220.3378,6557.1,0.9466,0.9255,4.18,59.22,150.08,832.61,14.638,0.8641,2.6068,0.6143,0.2175,25.586,27.901,8.02,1004.47,0.022,NORMAL,NORMAL,0.0,COOLING_SYSTEM_FAILURE,NONE,2026-06-10 00:05:08,692,gradual,
2026-06-10 00:02:36.000000000,ENG_002,ENG_002_M01,CLIMB,220.3389,6427.7,0.8967,0.8565,4.117,60.25,152.19,831.24,13.456,0.8714,2.7746,0.6383,0.2078,25.582,27.919,2.93,911.45,0.022,NORMAL,NORMAL,0.0,COOLING_SYSTEM_FAILURE,NONE,2026-06-10 00:05:08,692,gradual,
2026-06-10 00:02:40.000000000,ENG_002,ENG_002_M01,CLIMB,220.34,6307.6,0.8715,0.8231,4.057,61.19,153.88,828.61,12.793,0.8359,2.2874,0.5916,0.2203,25.6,27.916,2.76,910.37,0.022,NORMAL,NORMAL,0.0,COOLING_SYSTEM_FAILURE,NONE,2026-06-10 00:05:08,692,gradual,
2026-06-10 00:02:44.000000000,ENG_002,ENG_002_M01,CLIMB,220.3411,6214.4,0.8581,0.8042,4.011,62.07,155.32,825.6,12.31,0.8324,2.4813,0.6131,0.2161,25.54,27.862,2.82,911.99,0.022,NORMAL,NORMAL,0.0,COOLING_SYSTEM_FAILURE,NONE,2026-06-10 00:05:08,692,gradual,
2026-06-10 00:02:48.000000000,ENG_002,ENG_002_M01,CLIMB,220.3423,6156.5,0.8507,0.7934,3.983,62.92,156.59,822.65,12.157,0.7843,2.436,0.5493,0.2167,25.658,27.989,3.0,911.84,0.022,NORMAL,NORMAL,0.0,COOLING_SYSTEM_FAILURE,NONE,2026-06-10 00:05:08,692,gradual,
2026-06-10 00:02:52.000000000,ENG_002,ENG_002_M01,CLIMB,220.3434,6141.3,0.8503,0.7921,3.975,63.74,157.79,820.17,12.098,0.8194,2.6916,0.5972,0.2242,25.644,27.997,3.08,911.33,0.022,NORMAL,NORMAL,0.0,COOLING_SYSTEM_FAILURE,NONE,2026-06-10 00:05:08,692,gradual,
2026-06-10 00:02:56.000000000,ENG_002,ENG_002_M01,CLIMB,220.3445,6104.4,0.8458,0.7855,3.957,64.53,158.86,817.84,11.921,0.8398,2.9798,0.5913,0.2232,25.665,27.878,3.01,911.49,0.022,NORMAL,NORMAL,0.0,COOLING_SYSTEM_FAILURE,NONE,2026-06-10 00:05:08,692,gradual,
2026-06-10 00:03:00.000000000,ENG_002,ENG_002_M01,CLIMB,220.3456,6099.5,0.8474,0.7868,3.955,65.3,159.88,815.99,11.97,0.8026,2.7629,0.5762,0.2111,25.586,27.898,2.98,911.53,0.022,NORMAL,NORMAL,0.0,COOLING_SYSTEM_FAILURE,NONE,2026-06-10 00:05:08,692,gradual,
2026-06-10 00:03:04.000000000,ENG_002,ENG_002_M01,CLIMB,220.3467,6099.2,0.8506,0.79,3.955,66.05,160.87,814.62,12.048,0.7875,2.7248,0.5586,0.2223,25.625,27.95,2.82,910.14,0.022,NORMAL,NORMAL,0.0,COOLING_SYSTEM_FAILURE,NONE,2026-06-10 00:05:08,692,gradual,
2026-06-10 00:03:08.000000000,ENG_002,ENG_002_M01,CLIMB,220.3478,6092.3,0.8495,0.7886,3.951,66.78,161.79,813.44,12.08,0.7882,2.337,0.5596,0.2064,25.7,27.912,2.92,911.22,0.022,NORMAL,NORMAL,0.0,COOLING_SYSTEM_FAILURE,NONE,2026-06-10 00:05:08,692,gradual,
2026-06-10 00:03:12.000000000,ENG_002,ENG_002_M01,CLIMB,220.3489,6105.7,0.8494,0.7892,3.958,67.49,162.66,812.49,12.187,0.8251,2.6828,0.6084,0.2252,25.594,27.941,2.95,910.05,0.022,NORMAL,NORMAL,0.0,COOLING_SYSTEM_FAILURE,NONE,2026-06-10 00:05:08,692,gradual,
2026-06-10 00:03:16.000000000,ENG_002,ENG_002_M01,CLIMB,220.35,6094.8,0.847,0.786,3.953,68.18,163.46,811.58,12.042,0.8155,2.6544,0.585,0.2293,25.64,27.908,2.93,909.62,0.022,NORMAL,NORMAL,0.0,COOLING_SYSTEM_FAILURE,NONE,2026-06-10 00:05:08,692,gradual,
2026-06-10 00:03:20.000000000,ENG_002,ENG_002_M01,CLIMB,220.3511,6085.3,0.8448,0.7833,3.948,68.85,164.2,810.7,11.995,0.8044,2.4745,0.5942,0.1971,25.619,27.996,3.0,909.53,0.022,NORMAL,NORMAL,0.0,COOLING_SYSTEM_FAILURE,NONE,2026-06-10 00:05:08,692,gradual,
2026-06-10 00:03:24.000000000,ENG_002,ENG_002_M01,CLIMB,220.3523,6109.6,0.8544,0.7944,3.96,69.53,165.01,810.49,12.15,0.8071,2.5402,0.5784,0.1991,25.668,27.982,3.26,909.91,0.022,NORMAL,NORMAL,0.0,COOLING_SYSTEM_FAILURE,NONE,2026-06-10 00:05:08,692,gradual,
2026-06-10 00:03:28.000000000,ENG_002,ENG_002_M01,CLIMB,220.3534,6122.5,0.8558,0.7967,3.966,70.18,165.78,810.43,12.253,0.829,2.5231,0.5828,0.2366,25.656,27.918,3.12,910.7,0.022,NORMAL,NORMAL,0.0,COOLING_SYSTEM_FAILURE,NONE,2026-06-10 00:05:08,692,gradual,
2026-06-10 00:03:32.000000000,ENG_002,ENG_002_M01,CLIMB,220.3545,6140.2,0.8565,0.7983,3.975,70.82,166.51,810.45,12.207,0.7902,2.591,0.551,0.2186,25.61,27.978,2.94,910.58,0.022,NORMAL,NORMAL,0.0,COOLING_SYSTEM_FAILURE,NONE,2026-06-10 00:05:08,692,gradual,
2026-06-10 00:03:36.000000000,ENG_002,ENG_002_M01,CLIMB,220.3556,6125.8,0.8572,0.7984,3.968,71.45,167.21,810.47,12.262,0.8084,2.3433,0.5596,0.207,25.652,27.968,2.98,912.17,0.022,NORMAL,NORMAL,0.0,COOLING_SYSTEM_FAILURE,NONE,2026-06-10 00:05:08,692,gradual,
2026-06-10 00:03:40.000000000,ENG_002,ENG_002_M01,CLIMB,220.3567,6133.2,0.8553,0.7968,3.971,72.05,167.85,810.41,12.235,0.7731,2.4962,0.5395,0.2136,25.629,27.966,2.97,912.01,0.022,NORMAL,NORMAL,0.0,COOLING_SYSTEM_FAILURE,NONE,2026-06-10 00:05:08,692,gradual,
2026-06-10 00:03:44.000000000,ENG_002,ENG_002_M01,CLIMB,220.3578,6131.2,0.8543,0.7956,3.971,72.64,168.44,810.31,12.178,0.7807,2.3134,0.5605,0.2021,25.665,27.972,2.9,910.84,0.022,NORMAL,NORMAL,0.0,COOLING_SYSTEM_FAILURE,NONE,2026-06-10 00:05:08,692,gradual,
2026-06-10 00:03:48.000000000,ENG_002,ENG_002_M01,CLIMB,220.3589,6114.3,0.8484,0.7885,3.962,73.2,168.95,809.9,11.963,0.8133,2.4105,0.6017,0.2184,25.669,27.938,3.05,909.1,0.022,NORMAL,NORMAL,0.0,COOLING_SYSTEM_FAILURE,NONE,2026-06-10 00:05:08,692,gradual,
2026-06-10 00:03:52.000000000,ENG_002,ENG_002_M01,CLIMB,220.36,6095.4,0.8439,0.7828,3.953,73.73,169.37,809.31,11.966,0.7823,2.509,0.5431,0.2296,25.62,27.926,2.95,908.26,0.022,NORMAL,NORMAL,0.0,COOLING_SYSTEM_FAILURE,NONE,2026-06-10 00:05:08,692,gradual,
2026-06-10 00:03:56.000000000,ENG_002,ENG_002_M01,CLIMB,220.3611,6086.3,0.8472,0.7858,3.948,74.26,169.8,808.96,11.972,0.8052,2.6094,0.5605,0.2417,25.598,27.988,3.04,909.28,0.022,NORMAL,NORMAL,0.0,COOLING_SYSTEM_FAILURE,NONE,2026-06-10 00:05:08,692,gradual,
2026-06-10 00:04:00.000000000,ENG_002,ENG_002_M01,CLIMB,220.3623,6115.5,0.8561,0.7962,3.963,74.78,170.29,809.15,12.177,0.8164,2.5345,0.5726,0.23,25.646,27.924,2.88,906.99,0.022,NORMAL,NORMAL,0.0,COOLING_SYSTEM_FAILURE,NONE,2026-06-10 00:05:08,692,gradual,
2026-06-10 00:04:04.000000000,ENG_002,ENG_002_M01,CLIMB,220.3634,6125.7,0.8562,0.797,3.968,75.31,170.78,809.34,12.291,0.7884,2.5667,0.5536,0.2226,25.673,27.935,3.23,908.37,0.022,NORMAL,NORMAL,0.0,COOLING_SYSTEM_FAILURE,NONE,2026-06-10 00:05:08,692,gradual,
2026-06-10 00:04:08.000000000,ENG_002,ENG_002_M01,CLIMB,220.3645,6121.0,0.8569,0.7974,3.965,75.81,171.23,809.52,12.187,0.8165,2.5382,0.5742,0.2258,25.585,28.0,2.96,907.55,0.022,NORMAL,NORMAL,0.0,COOLING_SYSTEM_FAILURE,NONE,2026-06-10 00:05:08,692,gradual,
2026-06-10 00:04:12.000000000,ENG_002,ENG_002_M01,CLIMB,220.3656,6161.5,0.8614,0.8045,3.985,76.31,171.72,809.98,12.312,0.8504,2.839,0.6141,0.2267,25.647,27.965,2.98,909.75,0.022,NORMAL,NORMAL,0.0,COOLING_SYSTEM_FAILURE,NONE,2026-06-10 00:05:08,692,gradual,
2026-06-10 00:04:16.000000000,ENG_002,ENG_002_M01,CLIMB,220.3667,6148.2,0.8613,0.8038,3.979,76.8,172.16,810.33,12.322,0.8068,2.5106,0.586,0.1999,25.757,27.987,2.84,911.38,0.022,NORMAL,NORMAL,0.0,COOLING_SYSTEM_FAILURE,NONE,2026-06-10 00:05:08,692,gradual,
2026-06-10 00:04:20.000000000,ENG_002,ENG_002_M01,CLIMB,220.3678,6172.5,0.866,0.8098,3.991,77.28,172.62,810.89,12.438,0.7875,2.5946,0.5467,0.2482,25.61,27.959,2.64,910.27,0.022,NORMAL,NORMAL,0.0,COOLING_SYSTEM_FAILURE,NONE,2026-06-10 00:05:08,692,gradual,
2026-06-10 00:04:24.000000000,ENG_002,ENG_002_M01,CLIMB,220.3689,6200.9,0.8726,0.8182,4.005,77.76,173.14,811.73,12.674,0.8082,2.426,0.5834,0.2079,25.644,27.937,2.73,908.98,0.022,NORMAL,NORMAL,0.0,COOLING_SYSTEM_FAILURE,NONE,2026-06-10 00:05:08,692,gradual,
2026-06-10 00:04:28.000000000,ENG_002,ENG_002_M01,CLIMB,220.37,6206.7,0.8719,0.8178,4.008,78.23,173.63,812.4,12.645,0.8297,2.6235,0.597,0.2461,25.578,27.932,2.87,910.61,0.022,NORMAL,NORMAL,0.0,COOLING_SYSTEM_FAILURE,NONE,2026-06-10 00:05:08,692,gradual,
2026-06-10 00:04:32.000000000,ENG_002,ENG_002_M01,CLIMB,220.3711,6202.0,0.8694,0.815,4.005,78.69,174.07,812.82,12.516,0.8311,2.6578,0.6003,0.2449,25.619,28.05,2.98,911.07,0.022,NORMAL,NORMAL,0.0,COOLING_SYSTEM_FAILURE,NONE,2026-06-10 00:05:08,692,gradual,
2026-06-10 00:04:36.000000000,ENG_002,ENG_002_M01,CLIMB,220.3723,6194.5,0.8664,0.8115,4.002,79.12,174.45,813.0,12.516,0.8094,2.5509,0.5803,0.1916,25.589,27.942,2.78,910.28,0.022,NORMAL,NORMAL,0.0,COOLING_SYSTEM_FAILURE,NONE,2026-06-10 00:05:08,692,gradual,
2026-06-10 00:04:40.000000000,ENG_002,ENG_002_M01,CLIMB,220.3734,6176.3,0.8623,0.8063,3.993,79.54,174.77,812.92,12.486,0.7966,2.3145,0.5576,0.2195,25.58,27.96,2.94,911.26,0.022,NORMAL,NORMAL,0.0,COOLING_SYSTEM_FAILURE,NONE,2026-06-10 00:05:08,692,gradual,
2026-06-10 00:04:44.000000000,ENG_002,ENG_002_M01,CLIMB,220.3745,6157.3,0.8553,0.7983,3.983,79.93,174.99,812.48,12.253,0.8112,2.4526,0.5782,0.237,25.524,27.904,2.76,912.77,0.022,NORMAL,NORMAL,0.0,COOLING_SYSTEM_FAILURE,NONE,2026-06-10 00:05:08,692,gradual,
2026-06-10 00:04:48.000000000,ENG_002,ENG_002_M01,CLIMB,220.3756,6123.0,0.8506,0.7916,3.966,80.3,175.16,811.82,12.194,0.7839,2.2743,0.5522,0.2218,25.615,27.962,2.89,913.26,0.022,NORMAL,NORMAL,0.0,COOLING_SYSTEM_FAILURE,NONE,2026-06-10 00:05:08,692,gradual,
2026-06-10 00:04:52.000000000,ENG_002,ENG_002_M01,CLIMB,220.3767,6132.3,0.8567,0.7983,3.971,80.66,175.36,811.59,12.193,0.8175,2.5742,0.5941,0.2293,25.614,27.988,2.74,912.88,0.022,NORMAL,NORMAL,0.0,COOLING_SYSTEM_FAILURE,NONE,2026-06-10 00:05:08,692,gradual,
2026-06-10 00:04:56.000000000,ENG_002,ENG_002_M01,CLIMB,220.3778,6132.4,0.8567,0.7983,3.971,81.03,175.55,811.39,12.194,0.7862,2.2365,0.5664,0.1961,25.591,27.946,2.87,912.86,0.022,NORMAL,NORMAL,0.0,COOLING_SYSTEM_FAILURE,NONE,2026-06-10 00:05:08,692,gradual,
2026-06-10 00:05:00.000000000,ENG_002,ENG_002_M01,CLIMB,220.3789,6123.0,0.8588,0.8,3.966,81.38,175.75,811.31,12.198,0.7841,2.5745,0.5551,0.2205,25.56,27.935,2.71,913.65,0.022,NORMAL,NORMAL,0.0,COOLING_SYSTEM_FAILURE,NONE,2026-06-10 00:05:08,692,gradual,
